dd,mm,zz,pp,Departamento,Municipio,Puesto,Total,Mesas domingo,Latitud,Longitud
01,001,01,01,ANTIOQUIA,MEDELLIN,SEC. ESC. LA ESPERANZA No 2,12417,36,6.291166853889096,-75.54110522383867
01,001,01,02,ANTIOQUIA,MEDELLIN,INST.EDUC. LA CANDELARIA,15400,44,6.293491161667737,-75.54232060073917
01,001,01,03,ANTIOQUIA,MEDELLIN,IE MARIA DE LOS ANGELES CANO MARQUEZ,8525,25,6.292281354276708,-75.5445017815333
01,001,01,04,ANTIOQUIA,MEDELLIN,SEC. ESC. MEDELLIN,8893,26,6.286822875493661,-75.54634394199259
01,001,01,05,ANTIOQUIA,MEDELLIN,I.E.FE Y ALEGRIA GRANIZAL,5171,15,6.292913702271824,-75.54774714975814
01,001,01,06,ANTIOQUIA,MEDELLIN,IE LA AVANZADA,2448,7,6.294368801872741,-75.53912846195836
01,001,01,07,ANTIOQUIA,MEDELLIN,SEC. ESC. CARPINELO AMAPOLITA,2455,7,6.286901662275185,-75.53825245453439
01,001,01,08,ANTIOQUIA,MEDELLIN,IE ANTONIO DERKA,7188,21,6.297172374535049,-75.53908900853517
01,001,01,09,ANTIOQUIA,MEDELLIN,SEC. ESC. NUEVO HORIZONTE 2,11318,32,6.297678127687827,-75.54560659015236
01,001,02,01,ANTIOQUIA,MEDELLIN,I.E. NUEVO HORIZONTE - PAULO VI,10166,29,6.298770610003607,-75.54621227142943
01,001,02,02,ANTIOQUIA,MEDELLIN,SEC. ESC. DIVINA PROVIDENCIA,11887,34,6.297555311383203,-75.5491582190566
01,001,02,03,ANTIOQUIA,MEDELLIN,SEC.ESC.AGRIPINA MONTES DEL VALLE,7546,22,6.286594344434132,-75.55026598681182
01,001,02,04,ANTIOQUIA,MEDELLIN,I.E.FEDERICO CARRASQUILLA,5555,16,6.298627042406685,-75.54942030604306
01,001,02,05,ANTIOQUIA,MEDELLIN,I.E.GUADALUPE,8568,25,6.286822977192469,-75.54990857398555
01,001,03,01,ANTIOQUIA,MEDELLIN,I.E. ASIA IGNACIANA,14215,41,6.306288398534118,-75.55503370017753
01,001,03,02,ANTIOQUIA,MEDELLIN,SEC.ESC. MANUEL URIBE ANGEL,14647,42,6.298030595377991,-75.5537101125958
01,001,03,03,ANTIOQUIA,MEDELLIN,SEC. ESC. FIDEL ANTONIO SALDARRIAGA,8751,25,6.29402005807331,-75.55389805768115
01,001,03,04,ANTIOQUIA,MEDELLIN,SEC ESC LA FRONTERA,4172,12,6.30574568136459,-75.55265288075903
01,001,04,01,ANTIOQUIA,MEDELLIN,I.E. BARRIO SANTA CRUZ,10996,32,6.292401391485563,-75.55040017361034
01,001,04,02,ANTIOQUIA,MEDELLIN,SEC. ESC. ARZOBISPO GARCIA,10069,29,6.290124901597239,-75.55600184487506
01,001,04,03,ANTIOQUIA,MEDELLIN,I.E. REPUBLICA DE HONDURAS,9496,27,6.290786310393303,-75.55952245542814
01,001,05,01,ANTIOQUIA,MEDELLIN,I.E. MONTECARLO GUILLERMO GAVIRIA CORREA,15504,44,6.278336407431245,-75.5461153905296
01,001,05,02,ANTIOQUIA,MEDELLIN,IE LAS NIEVES,12149,35,6.2735706722689315,-75.54914397740323
01,001,05,03,ANTIOQUIA,MEDELLIN,I.E. MANUELA BELTRAN,8526,25,6.266246131517446,-75.54874489135204
01,001,05,04,ANTIOQUIA,MEDELLIN,SEC ESC SAN JOSE (IE MANUELA BELTRAN),14803,42,6.265584840534802,-75.54579958085893
01,001,05,05,ANTIOQUIA,MEDELLIN,I.E.RAMON MUNERA LOPERA,6424,19,6.269724663139501,-75.54351043967014
01,001,05,06,ANTIOQUIA,MEDELLIN,IE BELLO ORIENTE,2558,8,6.276973686093869,-75.5380888046019
01,001,05,07,ANTIOQUIA,MEDELLIN,IE JOSE ROBERTO VASQUEZ,3679,11,6.268655960349916,-75.55012903899657
01,001,05,08,ANTIOQUIA,MEDELLIN,SEC. ESC. BALDOMERO SANIN CANO,7049,20,6.2690484479704205,-75.54826734725016
